"fileName","Groups","ShortName"
"GSM5374844_S6.CEL","Sintomaticos","S1"
"GSM5374843_S5.CEL","Sintomaticos","S2"
"GSM5374849_S11.CEL","Sintomaticos","S3"
"GSM5374847_S9.CEL","Sintomaticos","S4"
"GSM5374841_S3.CEL","Sintomaticos","S5"
"GSM5374864_S26.CEL","Asintomaticos","A1"
"GSM5374863_S25.CEL","Asintomaticos","A2"
"GSM5374865_S27.CEL","Asintomaticos","A3"
"GSM5374854_S16.CEL","Asintomaticos","A4"
"GSM5374852_S14.CEL","Asintomaticos","A5"
"GSM5374885_S47.CEL","Control","C1"
"GSM5374884_S46.CEL","Control","C2"
"GSM5374881_S43.CEL","Control","C3"
"GSM5374869_S31.CEL","Control","C4"
"GSM5374871_S33.CEL","Control","C5"
